Book,YAKE - Precision,YAKE – Recall,YAKE - F1-score,Luhn - Precision,Luhn - Recall,Luhn - F1-score,Our_method - Precision,Our method - Recall,Our  method - F1-score
adeline.txt,0.1,0.2,0.13,0.1,0.2,0.13,0.1,0.2,0.13
afiya.txt,0,0,0,0,0,0,0,0,0
allen.txt,0.6,0.55,0.57,0.6,0.55,0.57,0.5,0.45,0.48
anan.txt,0.1,0.17,0.12,0.1,0.17,0.12,0.1,0.17,0.12
anna.txt,0.3,0.5,0.37,0.3,0.5,0.37,0.3,0.5,0.37
anneh.txt,0.3,0.33,0.32,0.3,0.33,0.32,0.2,0.22,0.21
anthony.txt,0,0,0,0,0,0,0,0,0
armstrong.txt,0.2,0.33,0.25,0.2,0.33,0.25,0.2,0.33,0.25
bannon.txt,0.2,0.29,0.24,0.2,0.29,0.24,0.2,0.29,0.24
barnett.txt,0.7,0.44,0.54,0.7,0.44,0.54,0.4,0.25,0.31
beere.txt,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
benton.txt,0.1,0.12,0.11,0.2,0.25,0.22,0.2,0.25,0.22
bethany.txt,0,0,0,0,0,0,0,0,0
biju.txt,0.3,0.6,0.4,0.3,0.6,0.4,0.4,0.8,0.53
blaire.txt,0.4,0.33,0.36,0.4,0.33,0.36,0.4,0.33,0.36
brian.txt,0.4,0.31,0.35,0.4,0.31,0.35,0.3,0.23,0.26
bridget.txt,0.3,0.33,0.32,0.3,0.33,0.32,0.3,0.33,0.32
brown.txt,0.1,0.17,0.12,0.1,0.17,0.12,0.1,0.17,0.12
bruce.txt,0.1,0.17,0.12,0.1,0.17,0.12,0.2,0.33,0.25
buckley.txt,0.4,0.33,0.36,0.4,0.33,0.36,0.3,0.25,0.27
burke.txt,0.3,0.37,0.33,0.3,0.37,0.33,0.4,0.5,0.44
carolina.txt,0.3,0.25,0.27,0.3,0.25,0.27,0.3,0.25,0.27
casci.txt,0.3,0.23,0.26,0.3,0.23,0.26,0.3,0.23,0.26
cbarnett.txt,0,0,0,0,0,0,0,0,0
charlotte.txt,0.5,0.2,0.29,0.5,0.2,0.29,0.6,0.24,0.34
cleland.txt,0.2,0.1,0.13,0.2,0.1,0.13,0.3,0.15,0.2
collins.txt,0.3,0.23,0.26,0.3,0.23,0.26,0.2,0.15,0.17
cowley.txt,0.3,0.5,0.37,0.3,0.5,0.37,0,0,0
dan.txt,0.4,0.44,0.42,0.5,0.56,0.53,0.4,0.44,0.42
davies.txt,0.4,0.44,0.42,0.4,0.44,0.42,0.4,0.44,0.42
davison.txt,0,0,0,0,0,0,0,0,0
debra.txt,0.3,0.27,0.29,0.3,0.27,0.29,0.1,0.09,0.1
derek.txt,0.5,0.26,0.34,0.5,0.26,0.34,0.5,0.26,0.34
dyar.txt,0.1,0.11,0.11,0.1,0.11,0.11,0.2,0.22,0.21
